Reference, Value, Footprint, Datasheet
J1,JACK,Connect:BARREL_JACK,
C1,100uF,Capacitors_ThroughHole:C_Radial_D5_L11_P2,
R15,90R,COMMON0603:Common_0603,
D2,POWER,LEDs:LED-0805,
P16,TEESTPOINT,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
U1,TPS62290,TPS62290:TPS62290,
C3,4.7uF,COMMON0603:Common_0603,
L1,2.2uH,Inductors_NEOSID:Neosid_Inductor_SMS-ME3015,
R2,315k,COMMON0603:Common_0603,
R11,210k,COMMON0603:Common_0603,
C11,22pF,COMMON0603:Common_0603,
C21,10uF,COMMON0603:Common_0603,
C37,100uF,Capacitors_ThroughHole:C_Radial_D5_L11_P2,
P6,TESTPOINT,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
U3,TPS62290,TPS62290:TPS62290,
C10,4.7uF,COMMON0603:Common_0603,
L4,2.2uH,Inductors_NEOSID:Neosid_Inductor_SMS-ME3015,
R12,100k,COMMON0603:Common_0603,
R13,22k,COMMON0603:Common_0603,
C14,22pF,COMMON0603:Common_0603,
C26,10uF,COMMON0603:Common_0603,
C27,100uF,Capacitors_ThroughHole:C_Radial_D5_L11_P2,
P15,TESTPOINT,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
P11,GND,Connect:1pin,
P12,GND,Connect:1pin,
P13,GND,Connect:1pin,
P14,GND,Connect:1pin,
U2,axp209,AXP209:TQFP-48-1EP_6x6mm_Pitch0.4mm,
R5,240R/1%,COMMON0603:Common_0603,
C15,10uF/6.3V,COMMON0603:Common_0603,
C12,10uF/6.3V,COMMON0603:Common_0603,
C13,10uF/6.3V,COMMON0603:Common_0603,
C18,10uF/6.3V,COMMON0603:Common_0603,
C19,10uF/6.3V,COMMON0603:Common_0603,
C16,10uF/6.3V,COMMON0603:Common_0603,
C17,10uF/6.3V,COMMON0603:Common_0603,
C20,10uF/6.3V,COMMON0603:Common_0603,
L2,2.2uH,Inductors_NEOSID:Neosid_Inductor_SMS-ME3015,
L3,2.2uH,Inductors_NEOSID:Neosid_Inductor_SMS-ME3015,
C23,10uF/6.3V,COMMON0603:Common_0603,
C24,1nF,COMMON0603:Common_0603,
C22,10uF/6.3V,COMMON0603:Common_0603,
C25,1nF,COMMON0603:Common_0603,
P5,TESTPOINT,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
P4,TESTPOINT,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
P2,TESTPOINT,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
P3,TESTPOINT,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
JP1,JUMPER,Resistors_SMD:R_0603,
R6,1R,COMMON0603:Common_0603,
C6,10uF/6.3V,COMMON0603:Common_0603,
C8,10uF/6.3V,COMMON0603:Common_0603,
C4,10uF/6.3V,COMMON0603:Common_0603,
R7,1R,COMMON0603:Common_0603,
P1,TESTPOINT,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
C2,1uF,COMMON0603:Common_0603,
R9,200k/1%,COMMON0603:Common_0603,
C9,1uF,COMMON0603:Common_0603,
C5,10uF/6.3V,COMMON0603:Common_0603,
C7,1nF,COMMON0603:Common_0603,
R4,1k,COMMON0603:Common_0603,
SW1,PWR_ON,Buttons_Switches_SMD:SW_SPST_FSMSM,
R8,47k,COMMON0603:Common_0603,
D1,DIODE,Diodes_SMD:SOD-123,
R10,2.2k,COMMON0603:Common_0603,
R3,2.2k,COMMON0603:Common_0603,
SW2,RESET,Buttons_Switches_SMD:SW_SPST_FSMSM,
R1,510R,COMMON0603:Common_0603,
C67,0.1uF,COMMON0603:Common_0603,
L5,FB/2A,Resistors_SMD:R_0805,
C78,100uF,Capacitors_ThroughHole:C_Radial_D5_L11_P2,
P18,USB_A,Connect:USB_A_Vertical,
L7,FB/2A,Resistors_SMD:R_0805,
L8,FB/2A,Resistors_SMD:R_0805,
P19,USB_OTG,Connect:USB_Micro-B,
U6,TPS2552,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-6,
R37,20k,COMMON0603:Common_0603,
C95,0.1uF,COMMON0603:Common_0603,
R35,47k,COMMON0603:Common_0603,
C76,0.1uF,COMMON0603:Common_0603,
L9,FB/2A,Resistors_SMD:R_0805,
C97,100uF,Capacitors_ThroughHole:C_Radial_D5_L11_P2,
U8,TPS2552,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-6,
R38,20k,COMMON0603:Common_0603,
C96,0.1uF,COMMON0603:Common_0603,
R39,100k,COMMON0603:Common_0603,
R36,100k,COMMON0603:Common_0603,
R40,47K,COMMON0603:Common_0603,
R42,100K,COMMON0603:Common_0603,
C75,0.1uF,COMMON0603:Common_0603,
RA1,22R,EXB28V:EXB18V,
RA2,22R,EXB28V:EXB18V,
RA3,22R,EXB28V:EXB18V,
RA4,22R,EXB28V:EXB18V,
RA5,22R,EXB28V:EXB18V,
RA6,22R,EXB28V:EXB18V,
RA7,22R,EXB28V:EXB18V,
RA8,22R,EXB28V:EXB18V,
RA9,22R,EXB28V:EXB18V,
RA10,22R,EXB28V:EXB18V,
U4,a13,A13:LQFP-176_20x20mm_Pitch0.4mm,
C66,0.1uF,Capacitors_SMD:C_0402,
R66,240R/1%,Resistors_SMD:R_0402,
R41,47k,COMMON0603:Common_0603,
C63,1uF,COMMON0603:Common_0603,
